height_to_cheek,cheek_to_jaw,forehead_to_cheek,jaw_to_forehead,height_to_jaw,height_to_forehead,chin_to_jaw,cheek_to_fj_mean,jaw_angle,label
1.192060,1.313934,0.494380,1.539451,1.566288,2.411225,0.416013,1.593050,137.053940,Diamond
1.194294,1.353149,0.522753,1.413702,1.616057,2.284622,0.414617,1.585075,140.576477,Diamond
1.212210,1.296254,0.491357,1.570048,1.571331,2.467065,0.432605,1.583768,136.153442,Diamond
1.204230,1.378487,0.519691,1.395894,1.660016,2.317205,0.409887,1.606266,146.256195,Diamond
1.260359,1.417176,0.567785,1.242774,1.786150,2.219781,0.415569,1.570581,146.105179,Diamond
1.244905,1.368374,0.480305,1.521523,1.703495,2.591907,0.411770,1.651392,139.524017,Diamond
1.313538,1.318941,0.507348,1.494406,1.732479,2.589026,0.419662,1.580362,140.748596,Diamond
1.163749,1.355310,0.535755,1.377194,1.577241,2.172167,0.417668,1.570359,141.100677,Diamond
1.160605,1.348142,0.512792,1.446514,1.564661,2.263304,0.427370,1.594192,139.046967,Diamond
1.218185,1.381912,0.509642,1.419888,1.683424,2.390274,0.415042,1.621695,143.827927,Diamond
1.190363,1.363239,0.527709,1.390059,1.622749,2.255718,0.430290,1.585720,142.280899,Diamond
1.298161,1.315753,0.477248,1.592507,1.708060,2.720097,0.413620,1.616463,138.060455,Diamond
1.137718,1.390613,0.530183,1.356338,1.582125,2.145895,0.423770,1.600908,144.043457,Diamond
1.246553,1.346912,0.531245,1.397545,1.678997,2.346474,0.429757,1.570248,140.798157,Diamond
1.164341,1.301162,0.508867,1.510304,1.514996,2.288105,0.433426,1.565668,138.049713,Diamond
1.196137,1.355080,0.510468,1.445660,1.620861,2.343215,0.424788,1.602009,137.191650,Diamond
1.126817,1.367640,0.523030,1.397981,1.541080,2.154400,0.425599,1.594621,141.001572,Diamond
1.262874,1.376226,0.519170,1.399589,1.738000,2.432487,0.414603,1.605401,144.101562,Diamond
1.189677,1.377810,0.513004,1.414783,1.639150,2.319040,0.415551,1.614474,143.711700,Diamond
1.221361,1.370912,0.525850,1.387167,1.674379,2.322642,0.416574,1.593256,142.308014,Diamond
1.190424,1.365021,0.544195,1.346189,1.624954,2.187495,0.431152,1.566435,144.857056,Diamond
1.188326,1.353589,0.498131,1.483098,1.608505,2.385572,0.418995,1.616936,137.106140,Oblong
1.211743,1.313596,0.501941,1.516649,1.591741,2.414112,0.407822,1.583268,137.246490,Oblong
1.257018,1.378571,0.552102,1.313868,1.732888,2.276786,0.427430,1.565569,146.114105,Oblong
1.297940,1.317088,0.485992,1.562271,1.709501,2.670705,0.409256,1.606113,133.598572,Oblong
1.254774,1.383213,0.514409,1.405407,1.735620,2.439252,0.414970,1.616339,138.159912,Oblong
1.274671,1.356346,0.483605,1.524540,1.728895,2.635770,0.426116,1.638163,135.964752,Oblong
1.206296,1.351123,0.524681,1.410619,1.629855,2.299104,0.412628,1.581270,141.581757,Oblong
1.279615,1.324756,0.532298,1.418107,1.695178,2.403944,0.450760,1.553815,140.969879,Oblong
1.300123,1.351799,0.500576,1.477807,1.757506,2.597255,0.422938,1.612473,137.553726,Oblong
1.258593,1.319274,0.509331,1.488213,1.660429,2.471071,0.424368,1.578129,135.384171,Oblong
1.308063,1.332206,0.508868,1.475106,1.742609,2.570532,0.424971,1.587928,141.107849,Oblong
1.225449,1.348976,0.501359,1.478589,1.653101,2.444257,0.414212,1.609449,139.531555,Oblong
1.290350,1.315091,0.500295,1.519910,1.696928,2.579176,0.403678,1.586422,137.541306,Oblong
1.219809,1.304010,0.518880,1.477924,1.590643,2.350849,0.441622,1.555517,137.498367,Oblong
1.227698,1.281614,0.507084,1.538730,1.573434,2.421091,0.450314,1.553578,137.424393,Oblong
1.144276,1.270206,0.492470,1.598625,1.453466,2.323547,0.452901,1.562813,137.321945,Oblong
1.217574,1.324512,0.503403,1.499784,1.612690,2.418687,0.420475,1.589323,135.492676,Oblong
1.239633,1.321438,0.480408,1.575226,1.638099,2.580375,0.415638,1.616607,131.957779,Oblong
1.195023,1.326132,0.499406,1.509938,1.584759,2.392887,0.420579,1.595559,137.726700,Oblong
1.214936,1.341806,0.504578,1.477004,1.630209,2.407826,0.421327,1.600202,139.714142,Oblong
1.230320,1.347516,0.535140,1.386752,1.657875,2.299062,0.417469,1.565869,142.201935,Oblong
